bib_journal;journal_abbr
European Journal of Operational Research;Eur. J. Oper. Res.
Knowledge-Based Systems;Knowl-based. Syst.
;
;
Journal of Multi-Criteria Decision Analysis;Journal of Multi-Criteria Decision Analysis
Rivista di matematica per le scienze economiche e sociali;Riv. Mat. Sci. Econom. Social.
International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems;Int. J. Uncertain. Fuzziness Knowledge-Based Systems
Soft Computing;Soft Comput.
Computational and Applied Mathematics;Comput. Appl. Math.
Applied Mathematics and Computation;Appl. Math. Comput.
Operations Research Letters;Oper. Res. Lett.
Annals of Operations Research;Ann. Oper. Res.
International Journal of General Systems;Int. J. Gen. Syst.
Knowledge-Based Systems;Knowl-based. Syst.
;
International Journal of Intelligent Systems;Int. J. Intell. Syst.
International Journal of Intelligent Systems;Int. J. Intell. Syst.
International Journal of Intelligent Systems;Int. J. Intell. Syst.
Soft Computing;Soft Comput.
Fuzzy Sets and Systems;Fuzzy Set. Syst.
Fuzzy Sets and Systems;Fuzzy Set. Syst.
Journal of Multi-Criteria Decision Analysis;Journal of Multi-Criteria Decision Analysis
Information Sciences;Inform. Sci.
Information Sciences;Inform. Sci.
International Journal of Approximate Reasoning;Int. J. Approx. Reason.
Group Decision and Negotiation;Group Decis. Negot.
Journal of the Operational Research Society;J. Oper. Res. Soc.
Fuzzy Optimization and Decision Making;Fuzzy Optim. Decis. Ma.
Journal of the Operational Research Society;J. Oper. Res. Soc.
Fuzzy Sets and Systems;Fuzzy Set. Syst.
IEEE transactions on fuzzy systems;IEEE Trans. Fuzzy Syst.
Omega;Omega
International Journal of Approximate Reasoning;Int. J. Approx. Reason.
Fuzzy Sets and Systems;Fuzzy Set. Syst.
;
;
;
European Journal of Operational Research;Eur. J. Oper. Res.
Wiley StatsRef: Statistics Reference Online;Wiley StatsRef: Statistics Reference Online
Science China Information Sciences;Science China Information Sciences
Review of Economic Design;Rev. Econ. Des.
;
;
European Journal of Operational Research;Eur. J. Oper. Res.
European Journal of Operational Research;Eur. J. Oper. Res.
;
;
Journal of the Operations Research Society of Japan;J. Oper. Res. Soc. Jpn.
Mathematical and Computer modelling;Math. Comput. Model.
Journal of the Operational Research Society;J. Oper. Res. Soc.
American Journal of Mathematics;Amer. J. Math.
American journal of mathematics;Amer. J. Math.
;
;
;
International Journal of Information Technology \& Decision Making;Int. J. Inf. Tech. Decis.
European Journal of Operational Research;Eur. J. Oper. Res.
European Journal of Operational Research;Eur. J. Oper. Res.
Computers \& Operations Research;Comput. Oper. Res.
International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems;Int. J. Uncertain. Fuzziness Knowledge-Based Systems
IEEE transactions on cybernetics;IEEE Trans. Cybern.
Fuzzy Sets and Systems;Fuzzy Set. Syst.
Knowledge-Based Systems;Knowl-based. Syst.
Applied Mathematics and Computation;Appl. Math. Comput.
;
Proceedings of the American Mathematical Society;P. Am. Math. Soc.
Computers \& Mathematics with Applications;Comput. Math. Appl.
IEEE access;IEEE Access
Psychological Review;Psychol. Rev.
Omega;Omega
;
Journal of mathematical psychology;J. Math. Psychol.
;
Management science;Manage. Sci.
;
;
Operations Research;Oper. Res.
;
European journal of operational research;Eur. J. Oper. Res.
;
Fuzzy sets Syst.;Fuzzy sets Syst.
;
;
Fuzzy Sets and Systems;Fuzzy Set. Syst.
Applied Mathematics-A Journal of Chinese Universities;Applied Mathematics-A Journal of Chinese Universities
Fuzzy Optimization and Decision Making;Fuzzy Optim. Decis. Ma.
Information Sciences;Inform. Sci.
Fuzzy Sets and Systems;Fuzzy Set. Syst.
Knowledge-Based Systems;Knowl-based. Syst.
;
Information Sciences;Inform. Sci.
Applied Soft Computing;Appl. Soft Comput.
International Journal of Fuzzy Systems;Int. J. Fuzzy Syst.
International Journal of Intelligent Systems;Int. J. Intell. Syst.
Knowledge-Based Systems;Knowl-based. Syst.
European journal of operational research;Eur. J. Oper. Res.
;
